"# GDPR Article 30 — Lastest Data Processing Matrix (Tevékenységi mátrix)"
"# Generated 2026-05-14. Each row = one data subject. Columns = activity. X = activity occurs; cell text = where/how."
"#"
"# READS (Olvassa) | STORES (Tárolja) | TRANSFORMS (Transzformálja) | GENERATES (Generálja) | TRANSFERS (Áthelyezi) | DELETES (Törli)"
"#"
Data Subject,Source,Reads (Olvassa),Stores (Tárolja),Transforms (Transzformálja),Generates derivatives (Generálja),Transfers / moves (Áthelyezi),Deletes (Törli),Sensitivity
Test code (Playwright TS),User-written or AI-generated,X (runner execution),"X — tests.code + testVersions.code (PG)",X — TS stripped at runtime; SHA256 integrity,X — version history,"X — sent to AI for fix/enhance; sent to runners/EB; logged in aiPromptLogs",Cascade on test delete (soft via deletedAt),USER-CONTENT HIGH
Custom AI instructions / prompts,User configures,X,"X — aiSettings.customInstructions / planPrompt etc.",None,None,X — sent to AI providers as system prompt,Cleared with settings,USER-CONTENT MEDIUM
Recorded browser actions (selectors + values),Captured during recording,X (DevTools events),"X — embedded in tests.code + tests.domSnapshot",X — CSS → data-testid / ARIA fallback; token-shaped values auto-redacted,X — selector candidate list,X — sent to AI for selector fixing,Cascade on test delete,PII-RISK HIGH (keystrokes incl. typed passwords)
DOM snapshot (HTML structure + text),page.evaluate at record/run,X,"X — tests.domSnapshot / testResults.domSnapshot (PG jsonb)",X — element tree + bounding boxes,X — DOM diff,X — sent to AI for fix context,Cascade with test/run,USER-APP-DATA MEDIUM
Setup / teardown script code,User writes,X (executed inline),"X — setupScripts.code (PG)",None,None,"X — sent to runner; may exfil secrets that user hardcoded (Lastest does not redact)",Cascade on script delete,CODE HIGH (user-hardcoded secrets)
Setup auth config (Bearer / Basic creds),User configures,X (inject in setup),"X — setupConfigs.authConfig (PG jsonb, plaintext)",None,None,X — sent to user's target API,Cascade on config delete,SECRET CRITICAL
Storage state (cookies + localStorage),Captured post-setup via Playwright,X (replay for tests),"X — storageStates.storageStateJson (PG, hashed/redacted) + testResults.storageStateSnapshot",X — cookie values SHA256-truncated; token-shape detection; localStorage values JSON-parsed or hashed,X — hash-only snapshot for audit,X — sent to runner / EB as JSON in RunSetupCommand,Cascade with test/run,SECRET CRITICAL (bearer / session / CSRF tokens)
Google Sheets cached cell data,Google Sheets API,X (resolve test vars),"X — googleSheetsDataSources.cachedHeaders / cachedData (PG jsonb)",X — parsed to rows/cols,X — interpolated into {{sheet:alias.col[row]}},X — values inlined into test run + may go to AI,Re-sync overwrites; delete on source delete,USER-CONTENT HIGH (may contain customer PII)
CSV uploaded test data,User upload,X,"X — csvDataSources.cachedData (PG jsonb) + file at storage/csv-sources/<repoId>/",X — parsed to rows/cols,X — interpolated into {{csv:alias.col[row]}},X — values inlined into test run + may go to AI,Cascade on source delete,USER-CONTENT HIGH
Test variables (resolved at runtime),Sheets / CSV / static / AI,X (interpolation),"X — testResults.assignedVariables (jsonb) + tests.aiVarLastValues",X — placeholders resolved,X — audit value snapshot,X — visible in UI Variables tab,Cascade with test run,USER-CONTENT MEDIUM
Extracted variables (post-test),page.evaluate after test body,X,"X — testResults.extractedVariables (jsonb)",X — getAttribute/textContent,None,X — visible in UI,Cascade with test run,USER-APP-DATA MEDIUM
Fixture files (test upload payloads),User upload,X (decode on use),"X — testFixtures.data (PG jsonb base64) + storage/fixtures/<repoId>/",X — base64 encode/decode,None,X — sent to EB / runner (base64),Cascade on fixture delete,USER-CONTENT MEDIUM
Screenshot images (page captures),Playwright page.screenshot,X (display & diff),"X — disk storage/screenshots/<repoId>/<testId>/*.png; path in testResults.screenshotPath",X — PNG encode; optional resize,"X — SHA256 baseline hash; pixelmatch diff; OCR text region detection",X — served via /api/media (auth-gated); sent to AI for diff analysis; embedded in PR comments / Slack / Discord,Quota LRU + cascade on run delete,USER-APP-DATA HIGH (full pages may contain end-user PII)
Visual diff artifacts (baseline / current / diff PNG),Computed in diff pipeline,X (Review UI),"X — disk storage/diffs/<repoId>/*; paths in visualDiffs.* (PG)",X — pixelmatch / SSIM / butteraugli,X — % diff + region metadata,X — sent to AI for classification; embedded in PR comments,Cascade on diff/run delete,USER-APP-DATA HIGH
Screenshot OCR / text content,page.evaluate(() => document.body.innerText),X (text diff),"X — disk storage/diffs/<repoId>/*_baseline_text.txt + visualDiffs.*TextPath",X — innerText extraction,X — textDiffSummary in metadata,None (local diff only),Cascade on diff delete,USER-APP-DATA MEDIUM
Video recording (.webm),Playwright recording,X (playback in UI),"X — disk storage/videos/<repoId>/<testRunId>/*.webm; path in testResults.videoPath",X — VP9 encoding,None,X — served via auth-gated media endpoint,Cascade on run delete,USER-APP-DATA HIGH (full interaction visible)
Console errors,Playwright console listener,X (failure triage),"X — testResults.consoleErrors (PG jsonb)",None,X — failure-triage summary,X — sent to AI providers; in build-failed emails,Cascade on run delete,USER-APP-DATA MEDIUM
Network request log (URL / status / headers / postData / response),Playwright route/response,X (Network tab in UI),"X — testResults.networkRequests (jsonb, truncated) + bodies on disk at storage/network-bodies/<runId>/",X — filtering / truncation,None,X — UI inspection only (NOT sent to AI by default),Cascade on run delete,API-PAYLOAD CRITICAL (auth headers / user data in bodies)
Download records (filename / size / url),Playwright download event,X,"X — testResults.downloads (jsonb) + file stored under storage/fixtures or temp",None,None,None (local),Cascade on run delete,USER-APP-DATA MEDIUM
Assertion results,Runner,X,"X — testAssertions / testResults assertion fields",None,X — pass/fail metadata,X — in build summary,Cascade on run delete,OPERATIONAL LOW
Selector statistics,Aggregated per run,X (sort fallback list),"X — selectorStats.* (PG)",X — counters + avg response,None,X — sent to runner as pre-sorted list,Cascade on test delete,OPERATIONAL LOW
A11y / WCAG score,Computed per page,X,"X — a11yResults / builds a11y trends (PG)",X — WCAG 2.2 AA scoring,X — score + violation list,X — included in build summary,Cascade with run,USER-APP-DATA LOW
AI prompt + response logs,Every AI call,X (debug / audit),"X — aiPromptLogs.userPrompt / systemPrompt / response (PG, indefinite)",None,None,X — full prompts sent to AI providers; full responses logged,Manual purge only (no auto-retention),USER-CONTENT HIGH (full test code + context retained)
Agent session state (Planner / Generator / Healer),Claude Agent SDK orchestration,X (resume),"X — agentSessions.steps + metadata (PG jsonb)",None,X — generated test IDs / plans / fixes,X — agent → AI provider (and back),Cascade on repo delete,AGENT-STATE HIGH
AI provider API keys (OpenRouter / Anthropic / OpenAI),User enters in Settings,X (HTTP auth header to provider),"X — aiSettings.*ApiKey (PG, plaintext, NOT in aiPromptLogs)",None,None,X — sent in Authorization header to each provider,Cleared with settings,SECRET CRITICAL
CRM People record (name + email + companyId),Fire-and-forget on user.create + /api/embedded/auto-register,X (no read-back),Not stored in Lastest DB after POST (lives in the CRM's own DB),X — name split into firstName/lastName,X — CRM People row,X — POST to self-hosted CRM /rest/people endpoint with Bearer + companyId,Not auto-deleted from CRM on Lastest user delete (manual sync needed),PII HIGH
CRM API key + URL + companyId,Operator env config (CRM endpoint + bearer + company id env vars),X (every user.create),Process env only (not in DB),None,None,X — sent in Authorization header to CRM,Rotated by ops; never in DB,SECRET CRITICAL
Slack webhook URL,User pastes in Settings,X (POST on build),"X — notificationSettings.slackWebhookUrl (PG, plaintext)",None,None,X — POST build summary to Slack,Cleared with settings,SECRET HIGH
Discord webhook URL,User pastes,X,"X — notificationSettings.discordWebhookUrl (PG)",None,None,X — POST to Discord,Cleared with settings,SECRET HIGH
Custom webhook URL + headers,User configures,X,"X — notificationSettings.customWebhookUrl / customWebhookHeaders (PG jsonb)",None,None,X — POST to user's endpoint (may include Authorization),Cleared with settings,SECRET HIGH
Build schedule (cron),User creates,X (scheduler),"X — buildSchedules.cronExpression / testIds (PG)",X — parse / nextRun,None,None,Cascade on schedule/repo delete,OPERATIONAL LOW
Activity / audit events,Generated for every action,X (audit feed),"X — activityEvents (PG)",None,X — feed summary,None (internal),Cascade on repo delete,AUDIT LOW
Background job state,Queued operations,X,"X — backgroundJobs.* (PG jsonb)",None,X — progress messages,None,Cascade on repo delete,OPERATIONAL LOW
Embedded Browser session state,EB pod lifecycle,X (provisioner),"X — embeddedSessions (status / urls / userId / currentUrl)",X — pod IP resolution,None,None (internal),Auto-GC on expiresAt / stale-lock,OPERATIONAL LOW
Remote runner registration,Runner CLI startup,X (heartbeat),"X — runners.tokenHash / name / capabilities (PG)",X — token hashed,None,X — runner-side stores Bearer token in env,Deregister or team delete,SECRET CRITICAL
Remote debugging session,Live debug mode,X (stream events),"X — remoteDebugSessions (status / DOM / network / frames)",X — frame encode,X — frame stream,X — streamed to user's browser via WSS,Expire on end / timeout,USER-APP-DATA HIGH
Bug report (user feedback + context),User submits via in-app dialog,X (admin view),"X — bugReports.description / context (PG jsonb) + screenshot on disk",X — breadcrumbs serialization,X — auto-attached page context (URL / viewport / UA / console),X — Discord webhook + GitHub issue + email to Lastest team,Manual delete,USER-CONTENT HIGH
Achievements / leaderboard,Auto from activity,X (UI),"X — userScores / achievements / bugBlitzEvents (PG)",X — score calc,X — badges,X — visible in team UI,Cascade on user/team delete,OPERATIONAL LOW
Routes / framework detection,Codebase scan,X (route discovery),"X — routes.path / framework / routerType (PG)",X — inferred from package.json / file tree,X — route classification,X — sent to AI as test-gen context,Cascade on repo delete,USER-CONTENT MEDIUM
Codebase intelligence (deps / patterns),Transient analysis,X (during AI call),Not persisted,X — extracted from repo tree + package.json,X — context object,X — sent to AI providers,N/A (transient),USER-CONTENT HIGH
Usage analytics events,Client-side SDK,X (analytics server),Not in Lastest DB,X — event name + hashed user id,X — usage metrics,X — sent to configured analytics endpoint (self-hosted or vendor),Per analytics-vendor retention,ANALYTICS MEDIUM
